authors;affiliation;location;NEP.AFR;NEP.ENV;NEP.DEV;sum_publi;country;city
Victor Saldarriaga;(90%) Paris School of Economics; Paris, France;NA;2;2;11;France;Paris
Sergio Sr Sergio Torrejon; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;NA;NA;3;Spain;Sevilla
Thepthida Sopraseuth;(95%) Théorie Économique, Modélisation, Application (THEMA)Université de Cergy-Pontoise; Cergy-Pontoise, France;NA;NA;NA;175;France;Cergy-Pontoise
Mohamed Saleh; Toulouse School of Economics (TSE); Toulouse, France;NA;NA;1;38;France;Toulouse
Nashwa Saleh; Bayes Business SchoolCity University; London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Catherine Sermet; Institut de Recherche et Documentation en Économie de la Santé (IRDES); Paris, France;NA;NA;NA;4;France;Paris
Georgios Sermpinis; Department of Accounting and FinanceAdam Smith Business SchoolUniversity of Glasgow; Glasgow, United Kingdom;NA;NA;NA;0;United Kingdom;Glasgow
Christine Sorasith; Institut de Recherche et Documentation en Économie de la Santé (IRDES); Paris, France;NA;NA;NA;2;France;Paris
Stephane Sorbe; Economics DepartmentOrganisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;NA;NA;52;France;Paris
Sultan Salem;(50%) Department of EconomicsUniversity of Birmingham; Birmingham, United Kingdom;NA;NA;NA;0;United Kingdom;Birmingham
Annabel Salerno; IAE Lille University School of ManagementUniversité de Lille; Lille, France;NA;NA;NA;4;France;Lille
Gillian Salerno; CREGENE (Conservatoire des Ressources Genetiques du Centre Ouest Atlantique); Coulon, France;NA;2;NA;6;France;Coulon
Marine Sales;(50%) Département d'Économie et de GestionÉcole Normale Supérieure Paris-Saclay (ENS); Cachan, France;NA;NA;NA;2;France;Cachan
Rasheed Saleuddin;(90%) Department of Economic and Social HistoryUniversity of Cambridge; Cambridge, United Kingdom;NA;NA;NA;0;United Kingdom;Cambridge
Daniel Serra;(90%) Barcelona School of ManagementUniversitat Pompeu Fabra; Barcelona, Spain;NA;NA;NA;23;Spain;Barcelona
SA; NERA Economic Consulting; United Kingdom, London;NA;NA;NA;0;United Kingdom;London
Francisco Serranito;(90%) Centre d'Économie de l'Université Paris-Nord (CEPN)Université Paris-13; Paris, France;1;NA;NA;24;France;Paris
Ana Serrano; Facultad de Economía y EmpresaUniversidad de Zaragoza; Zaragoza, Spain;NA;3;NA;18;Spain;Zaragoza
Yahia Salhi; Institut de Science Financière et d'Assurances (École ISFA)Université Claude Bernard (Lyon 1); Lyon, France;NA;NA;NA;0;France;Lyon
Felipe Serrano; Departamento de Economía Aplicada VFacultad de Economía y EmpresaUniversidad del País Vasco - Euskal Herriko Unibertsitatea; Bilbao, Spain;NA;NA;NA;7;Spain;Bilbao
Evens Salies; Centre de recherche en Économie (OFCE)Sciences économiquesSciences Po; Paris, France;NA;7;NA;65;France;Paris
Monica Serrano;(50%) Facultat d'Economia i EmpresaUniversitat de Barcelona; Barcelona, Spain;NA;6;NA;26;Spain;Barcelona
Raul Serrano; Departamento de Dirección y Organización de EmpresasFacultad de Economía y EmpresaUniversidad de Zaragoza; Zaragoza, Spain;NA;NA;NA;17;Spain;Zaragoza
Muhammad Kabir Salihu;(50%) Department of EconomicsManagement SchoolLancaster University; Lancaster, United Kingdom;NA;NA;NA;3;United Kingdom;Lancaster
Jose A Serrano Alvarez; Departament d'Història Econòmica, Institucions, Política i Economia MundialFacultat d'Economia i EmpresaUniversitat de Barcelona; Barcelona, Spain;NA;1;NA;3;Spain;Barcelona
Engin Sorhun; Bureau d'Économie Théorique et Appliquée (BETA); Nancy/Strasbourg, France;NA;NA;NA;0;France;Nancy
Carlos Serrano-Cinca; Facultad de Economía y EmpresaUniversidad de Zaragoza; Zaragoza, Spain;NA;NA;NA;18;Spain;Zaragoza
Lorenzo Serrano Martinez;Instituto Valenciano de Investigaciones Económicas (IVIE) (Valencian Institute of Economic Research); Valencia, Spain;NA;NA;NA;13;Spain;Valencia
Pedro Javier Soria-Espin; Paris School of Economics; Paris, France;NA;NA;NA;2;France;Paris
Dario Serrano-Puente; Institut d'Economia de Barcelona (IEB)Facultat d'Economia i EmpresaUniversitat de Barcelona; Barcelona, Spain;NA;1;NA;6;Spain;Barcelona
Joaquin Soriano; Centro de Investigación Operativa (CIO)Universidad Miguel Hernández; Elche, Spain;NA;NA;NA;10;Spain;Elche
Jose M Serrano Sanz; Facultad de Economía y EmpresaUniversidad de Zaragoza; Zaragoza, Spain;NA;NA;NA;2;Spain;Zaragoza
Fatemeh Salimi Namin; École d'Économie d'Aix-MarseilleAix-Marseille Université; Aix-en-Provence/Marseille, France;NA;NA;NA;3;France;Aix-en-Provence
Paula Salinas; Unitat de Fonaments de l'Anàlisi EconòmicaDepartament d'Economia i Història EconòmicaUniversitat Autònoma de BarcelonaBarcelona School of Economics (BSE); Barcelona, Spain;NA;NA;NA;6;Spain;Barcelona
Constantine Sergeevich Sorokin;(80%) Adam Smith Business SchoolUniversity of Glasgow; Glasgow, United Kingdom;NA;NA;NA;3;United Kingdom;Glasgow
Patrice Salini; Patrice Salini; Palaiseau (France) and Pianottoli-Caldarello (France);NA;NA;NA;0;France;Palaiseau
Valeri Sorolla; Universitat Autònoma de Barcelona, Departament d'Economia i Història Econòmica, Unitat de Fonaments de l'Anàlisi Econòmica; Spain, Barcelona;NA;NA;NA;31;Spain;Barcelona
Henri Servaes; London Business School (LBS); London, United Kingdom;NA;NA;NA;16;United Kingdom;London
Francois Servant; Banque de France; Paris, France;NA;NA;NA;0;France;Paris
Steve Sorrell; Science Policy Research Unit (SPRU)Sussex Business SchoolUniversity of Sussex; Brighton, United Kingdom;NA;1;NA;25;United Kingdom;Brighton
Stephanie Serve; Institut de Recherche en Gestion (IRG)Faculté de Sciences Économiques et de GestionUniversité Paris-Est; Créteil, France;NA;NA;NA;10;France;Créteil
Luis Serven; Centro de Estudios Monetarios y Financieros (CEMFI); Madrid, Spain;1;NA;16;150;Spain;Madrid
Frederic Salladarre; Centre de Recherche en Économie et Management (CREM); Rennes/Caen, France;NA;2;NA;8;France;Rennes
Ricardo Jose Server Izquierdo; Departamento de Economía y Ciencias SocialesUniversidad Politécnica de Valencia; Valencia, Spain;NA;NA;NA;0;Spain;Valencia
Pilar Sorribas-Navarro; Institut d'Economia de Barcelona (IEB)Facultat d'Economia i EmpresaUniversitat de Barcelona; Barcelona, Spain;NA;NA;NA;24;Spain;Barcelona
Dorottya Sallai; Business SchoolUniversity of Greenwich; London, United Kingdom;NA;NA;NA;6;United Kingdom;London
Jose M Sallan; Departament d'Organització d'EmpresesUniversitat Politecnica de Catalunya; Barcelona, Spain;NA;NA;NA;0;Spain;Barcelona
M Teresa Sorrosal Forradellas; Departamento de Gestión de EmpresasFacultat de Ciències Econòmiques i EmpresarialsUniversitat Rovira I Virgili Tarragona; Reus, Spain;NA;NA;NA;0;Spain;Reus
Ilona Elzbieta Serwicka;(90%) Department of EconomicsSussex Business SchoolUniversity of Sussex; Brighton, United Kingdom;NA;NA;NA;3;United Kingdom;Brighton
Audrey Sallenave; EconomiXUniversité Paris-Nanterre (Paris X); Nanterre, France;NA;NA;NA;13;France;Nanterre
Jean-Michel Salles;(99%) Centre d'Économie de l'Environnement - Montpellier (CEE-M)Faculté de sciences économiquesUniversité de Montpellier; Montpellier, France;NA;18;NA;41;France;Montpellier
Maurice Salles; Centre de Recherche en Économie et Management (CREM); Rennes/Caen, France;NA;NA;NA;11;France;Rennes
Suzanne Salloy; Équipe de Recherche sur l'Utilisation des Données Individuelles en lien avec la Théorie Économique (ERUDITE)Université Paris-Est; Créteil, France;NA;NA;NA;2;France;Créteil
John G Sessions; Department of EconomicsUniversity of Bath; Bath, United Kingdom;NA;NA;NA;29;United Kingdom;Bath
Matteo Sostero; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;1;NA;14;Spain;Sevilla
Simon Sosvilla-Rivero; Instituto Complutense de Analisis Economico (ICAE)Facultad de Ciencias Económicas y EmpresarialesUniversidad Complutense de Madrid; Madrid, Spain;NA;NA;NA;258;Spain;Madrid
Giulia Sestieri; Banque de France; Paris, France;NA;NA;NA;16;France;Paris
Daniel Federico Sotelsek;(50%) Departamento de EconomíaFacultad de Ciencias Económicas, Empresariales y TurismoUniversidad de Alcalá de Henares; Alcalá de Henares, Spain;NA;NA;NA;9;Spain;Alcalá de Henares
Suman Seth; Leeds University Business School (LUBS)University of Leeds; Leeds, United Kingdom;NA;NA;3;14;United Kingdom;Leeds
Dimitris P Sotiropoulos; Department of EconomicsKingston University; Kingston-upon-Thames, United Kingdom;NA;NA;NA;10;United Kingdom;Kingston-upon-Thames
Chris Salmon; Bank of England; London, United Kingdom;NA;NA;NA;8;United Kingdom;London
Claire Salmon; Institut de Recherche en Gestion et Économie (IREGE)Institut de ManagementUniversité de Savoie Mont Blanc; Annecy, France;NA;NA;1;4;France;Annecy
Mark Salmon;"Finance Group
Warwick Business School
University of Warwick"; Coventry, United Kingdom;NA;NA;NA;5;United Kingdom;Coventry
Gloria M Soto; Facultad de Economía y EmpresaUniversidad de Murcia; Murcia, Spain;NA;NA;NA;5;Spain;Murcia
Iria Soto; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;1;NA;4;Spain;Sevilla
Antoine Salomon; Laboratoire d'Économie de Dauphine (LEDa)Université Paris-Dauphine (Paris IX); Paris, France;NA;NA;NA;0;France;Paris
Eirini-Christina Saloniki; Department of Applied Health ResearchUniversity College London (UCL); London, United Kingdom;NA;NA;NA;7;United Kingdom;London
Juan Daniel Soto Diaz;(90%) Department of Geography and EnvironmentLondon School of Economics (LSE); London, United Kingdom;NA;NA;NA;5;United Kingdom;London
Simone Salotti; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;1;NA;119;Spain;Sevilla
Guna Salputra; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;8;NA;35;Spain;Sevilla
David Soto-Onate;(50%) Economía dos Recursos Naturais e Ambientais (ERENEA)Facultade de Ciencias Económicas e EmpresariaisUniversidade de Vigo; Vigo, Spain;NA;NA;NA;0;Spain;Vigo
Davide Settembre Blundo;(60%) Departamento de Economía de la Empresa (Administración, Dirrección y Organización)Universidad Rey Juan Carlos; Madrid, Spain;NA;NA;NA;0;Spain;Madrid
Brian Salter; Department of Political EconomyKing's College London; London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Said Souam;(66%) EconomiXUniversité Paris-Nanterre (Paris X); Nanterre, France;NA;NA;NA;26;France;Nanterre
Antoine Soubeyran; Groupement de Recherche en Économie Quantitative d'Aix-Marseille (GREQAM)École d'Économie d'Aix-MarseilleAix-Marseille Université; Marseille, France;1;3;1;43;France;Marseille
Raphael Soubeyran; Centre d'Économie de l'Environnement - Montpellier (CEE-M)Faculté de sciences économiquesUniversité de Montpellier; Montpellier, France;4;5;7;113;France;Montpellier
Joana Setzer; Department of Geography and EnvironmentLondon School of Economics (LSE); London, United Kingdom;NA;1;NA;3;United Kingdom;London
Fattouma Souissi Benrejab; Centre d'Économie de l'Environnement - Montpellier (CEE-M)Faculté de sciences économiquesUniversité de Montpellier; Montpellier, France;NA;NA;NA;0;France;Montpellier
Francesco Salustri; Centre for Global Health EconomicsInstitute of Global HealthUniversity College London (UCL); London, United Kingdom;NA;4;NA;44;United Kingdom;London
Jean-Loup Soula; Laboratoire de Recherche en Gestion (LaRGE)Institut de Finance de StrasbourgUniversité de Strasbourg; Strasbourg, France;NA;NA;NA;5;France;Strasbourg
Elisa Salvador; École Supérieure des Sciences Commerciales d'Angers (ESSCA); Angers/Paris, France;NA;NA;NA;13;France;Angers
Fabrizio Salvador; IE Business SchoolUniversidad IE; Madrid, Spain;NA;NA;NA;0;Spain;Madrid
Nicolas Soulie;(99%) Business SchoolInstitut Mines Télécom; Évry, France;NA;NA;NA;11;France;Évry
Ioannis Souliotis; Centre for Environmental PolicyImperial College; London, United Kingdom;NA;2;NA;4;United Kingdom;London
Salvador Sr Salvador Del; Facultad de Ciencias Económicas y EmpresarialesUniversidad de Granada; Granada, Spain;NA;NA;NA;0;Spain;Granada
Luca Salvadori; Unitat de Fonaments de l'Anàlisi EconòmicaDepartament d'Economia i Història EconòmicaUniversitat Autònoma de BarcelonaBarcelona School of Economics (BSE); Barcelona, Spain;NA;NA;NA;15;Spain;Barcelona
Patrick Sevestre; Groupement de Recherche en Économie Quantitative d'Aix-Marseille (GREQAM)École d'Économie d'Aix-MarseilleAix-Marseille Université; Marseille, France;NA;NA;NA;30;France;Marseille
Benoit Sevi; Laboratoire d'Économie et de Management de Nantes-Atlantique (LEMNA)Institut d'Économie et de Management de Nantes (IAE)Université de Nantes; Nantes, France;NA;9;NA;67;France;Nantes
Almudena Sevilla;(90%) Social Research InstituteInstitute of EducationUniversity College London (UCL); London, United Kingdom;NA;NA;1;79;United Kingdom;London
Christophe Salvat; Action, discours, pensée politique et économique (TRIANGLE)École Normale Supérieure (ENS Lyon); Lyon, France;NA;NA;NA;0;France;Lyon
Francesca Salvati; Department of EconomicsUniversity College London (UCL); London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Andrea Salvatori;(90%) Directorate for Employment, Labour and Social Affairs (ELS)Organisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;NA;NA;43;France;Paris
Angelica Salvi Del Pero; Directorate for Employment, Labour and Social Affairs (ELS)Organisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;NA;NA;4;France;Paris
Francoise Seyte; Centre d'Économie de l'Environnement - Montpellier (CEE-M)Faculté de sciences économiquesUniversité de Montpellier; Montpellier, France;1;NA;NA;3;France;Montpellier
Panos Sousounis; Centre for Economic ResearchKeele Management SchoolUniversity of Keele; Staffordshire, United Kingdom;NA;NA;NA;9;United Kingdom;Staffordshire
Raffaele Salvucci; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;1;NA;3;Spain;Sevilla
Guadalupe Souto; Departament d'Economia AplicadaUniversitat Autònoma de Barcelona; Barcelona, Spain;NA;NA;NA;3;Spain;Barcelona
Nadia Sghaier; Institut de Préparation à l'Administration et à la Gestion (IPAG); Paris, France;NA;NA;NA;9;France;Paris
Mateus Souza; Departamento de EconomíaUniversidad Carlos III de Madrid; Madrid, Spain;NA;2;NA;5;Spain;Madrid
Pedro Cl Souza; Department of EconomicsUniversity of Warwick; Coventry, United Kingdom;NA;NA;NA;18;United Kingdom;Coventry
Daniel Sgroi;(95%) Department of EconomicsUniversity of Warwick; Coventry, United Kingdom;NA;1;NA;176;United Kingdom;Coventry
Yhlas Sovbetov; London School of Commerce; London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Chowdhury Rashaad Shabab; Department of EconomicsSussex Business SchoolUniversity of Sussex; Brighton, United Kingdom;NA;NA;NA;0;United Kingdom;Brighton
Mousse Ndoye Sow; Centre d'Études et de Recherches sur le Développement International (CERDI)École d'ÉconomieUniversité Clermont Auvergne; Clermont-Ferrand, France;NA;NA;NA;5;France;Clermont-Ferrand
Mimoza Shabani; Economics DepartmentUniversity of East London; London, United Kingdom;NA;NA;NA;10;United Kingdom;London
Rhiannon Sowerbutts; Bank of England; London, United Kingdom;NA;1;NA;52;United Kingdom;London
Sarosh Shabi; School of ManagementSwansea University; Swansea, United Kingdom;NA;NA;NA;3;United Kingdom;Swansea
Antoni Soy; Facultat d'Economia i EmpresaUniversitat de Barcelona; Barcelona, Spain;NA;NA;NA;0;Spain;Barcelona
Mark B Shackleton; Department of Accounting and FinanceManagement SchoolLancaster University; Lancaster, United Kingdom;NA;NA;NA;4;United Kingdom;Lancaster
Hamed Sambo; Centre d'Économie de l'Université Paris-Nord (CEPN)Université Paris-13; Paris, France;1;NA;2;10;France;Paris
Wasel Bin Shadat; School of EconomicsUniversity of Manchester; Manchester, United Kingdom;NA;NA;1;10;United Kingdom;Manchester
Milena Spach; Centre d'Économie de la SorbonneUniversité Paris 1 (Panthéon-Sorbonne); Paris, France;NA;NA;NA;0;France;Paris
Amedeo Spadaro;(50%) Departament d'Economia AplicadaFacultat de Ciències Econòmiques i EmpresarialsUniversitat de les Illes Balears; Palma de Mallorca, Spain;NA;NA;NA;23;Spain;Palma de Mallorca
Christophe Spaenjers; HEC Paris (École des Hautes Études Commerciales); Jouy-en-Josas, France;NA;NA;NA;34;France;Jouy-en-Josas
Michael Spagat; Department of EconomicsRoyal Holloway; Egham, United Kingdom;NA;NA;5;18;United Kingdom;Egham
Sally Anne Sambrook; Bangor Business SchoolBangor University; Bangor, United Kingdom;NA;NA;NA;4;United Kingdom;Bangor
Fabio Spagnolo; Department of Economics and FinanceBrunel University; Uxbridge, United Kingdom;NA;NA;NA;19;United Kingdom;Uxbridge
Hind Sami; Conception de l'Action en Situation (CoActiS); Lyon/St-Etienne, France;NA;NA;NA;4;France;Lyon
Marina-Eliza Spaliara;(70%) Department of EconomicsAdam Smith Business SchoolUniversity of Glasgow; Glasgow, United Kingdom;NA;NA;NA;50;United Kingdom;Glasgow
Mina Sami Ayad; Faculté de droit, économie et sciences socialesUniversité François Rabelais; Tours, France;NA;NA;NA;5;France;Tours
Emma Samman; Overseas Development Institute; London, United Kingdom;NA;NA;1;3;United Kingdom;London
Sofia Samoili; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;NA;NA;33;Spain;Sevilla
Imran Hussain Shah; Centre for Public Economics (CPE)Department of EconomicsUniversity of Bath; Bath, United Kingdom;NA;NA;NA;20;United Kingdom;Bath
Antonio Sampayo; Departamento de Fundamentos da Análise EconómicaFacultade de Ciencias Económicas e EmpresariaisUniversidade de Santiago de Compostela; Santiago de Compostela, Spain;NA;NA;NA;12;Spain;Santiago de Compostela
Christopher James Sampson; Office of Health Economics; London, United Kingdom;NA;NA;NA;15;United Kingdom;London
Anne-Laure Samson;(50%) Lille Économie et Management (LEM); Lille, France;NA;NA;2;18;France;Lille
Ivan Samson;(25%) Laboratoire de recherche en management (LAREQUOI)Université de Versailles - Saint-Quentin-en-Yvelines; Guyancourt, France;NA;NA;NA;0;France;Guyancourt
Rozina Shaheen; School of Business and EconomicsLoughborough University; Loughborough, United Kingdom;NA;NA;NA;0;United Kingdom;Loughborough
Biagio Speciale; Paris School of Economics; Paris, France;NA;NA;1;31;France;Paris
Stefan Soenke Speckesser; EconomicsWestminster Business SchoolUniversity of Westminster; London, United Kingdom;NA;NA;NA;4;United Kingdom;London
David Spector; Paris School of Economics; Paris, France;NA;NA;NA;23;France;Paris
Bradley James Speigner; Bank of England; London, United Kingdom;NA;NA;NA;19;United Kingdom;London
Angeles Sanchez; Facultad de Ciencias Económicas y EmpresarialesUniversidad de Granada; Granada, Spain;NA;NA;NA;12;Spain;Granada
Adam Hal Spencer; School of EconomicsUniversity of Nottingham; Nottingham, United Kingdom;NA;NA;NA;13;United Kingdom;Nottingham
Christopher Spencer; School of Business and EconomicsLoughborough University; Loughborough, United Kingdom;NA;NA;1;51;United Kingdom;Loughborough
Syed Jawad Hussain Shahzad;(80%) Montpellier Business School; Montpellier, France;NA;6;NA;50;France;Montpellier
Judit Albiol Sanchez;(50%) Centre de Recerca en Economia Industrial i Economia Pública (CREIP)Facultat de Ciències Econòmiques i EmpresarialsUniversitat Rovira I Virgili Tarragona; Reus, Spain;NA;NA;NA;6;Spain;Reus
Peter Damian Spencer;(95%) Department of Economics and Related StudiesUniversity of York; York, United Kingdom;NA;NA;NA;23;United Kingdom;York
J -C. Spender;(23%) Business SchoolOpen University; Milton Keynes, United Kingdom;NA;NA;NA;0;United Kingdom;Milton Keynes
Marc-Antoine Sanchez; Équipe de Recherche sur l'Utilisation des Données Individuelles en lien avec la Théorie Économique (ERUDITE)Université Paris-Est; Créteil, France;NA;NA;NA;0;France;Créteil
Dominic E Spengler; Centre for Experimental EconomicsDepartment of Economics and Related StudiesUniversity of York; York, United Kingdom;NA;NA;NA;7;United Kingdom;York
Blanca Sanchez-Alonso; Facultad de Ciencias Económicas y EmpresarialesUniversidad San Pablo CEU; Madrid, Spain;NA;NA;1;25;Spain;Madrid
Diego Sanchez-Ancochea; Department of International Development (Queen Elizabeth House)Oxford University; Oxford, United Kingdom;NA;NA;NA;0;United Kingdom;Oxford
Antonio Sanchez-Bayon; Departamento de Economía Aplicada IIUniversidad Rey Juan Carlos; Madrid, Spain;NA;NA;NA;3;Spain;Madrid
Kirill Shakhnov;"School of Economics
University of Surrey"; Guildford, United Kingdom;NA;NA;NA;11;United Kingdom;Guildford
J Manuel Sanchez-Cartas; Departamento de Ingenería de la Organización, Administración de Empresas y EstadísticaUniversidad Politécnica de Madrid; Madrid, Spain;NA;NA;NA;6;Spain;Madrid
Julio Sanchez Choliz; Facultad de Economía y EmpresaUniversidad de Zaragoza; Zaragoza, Spain;NA;NA;NA;0;Spain;Zaragoza
Antonio Jesus Sanchez Fuentes;(50%) Departamento de Economía Aplicada, Pública y PolíticaFacultad de Ciencias Económicas y EmpresarialesUniversidad Complutense de Madrid; Madrid, Spain;NA;NA;NA;46;Spain;Madrid
Julian Sanchez-Gonzalez; Departamento de Análisis Económico: Teoría Económica e Historia EconómicaFacultad de Ciencias Económicas y EmpresarialesUniversidad Autónoma de Madrid; Madrid, Spain;NA;NA;NA;2;Spain;Madrid
Ran Spiegler;(50%) Department of EconomicsUniversity College London (UCL); London, United Kingdom;NA;NA;NA;75;United Kingdom;London
Rebeca Sanchez Gracia; Facultad de Economía y EmpresaUniversidad de Zaragoza; Zaragoza, Spain;NA;NA;NA;3;Spain;Zaragoza
Christian Spielmann; Department of EconomicsUniversity College London (UCL); London, United Kingdom;NA;NA;NA;5;United Kingdom;London
Patricia Sanchez Juanino; National Institute of Economic and Social Research (NIESR); London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Maya Shames; Centre d'Économie de l'Université Paris-Nord (CEPN)Université Paris-13; Paris, France;NA;2;NA;11;France;Paris
Gilles Spielvogel;(85%) Directorate for Employment, Labour and Social Affairs (ELS)Organisation de Coopération et de Développement Économiques (OCDE); Paris, France;4;NA;5;46;France;Paris
Guy Selmar Spier; Department of EconomicsOxford University; Oxford, United Kingdom;NA;NA;NA;0;United Kingdom;Oxford
Fernando Sanchez-Losada;(50%) Departament de Teoria EconómicaFacultat d'Economia i EmpresaUniversitat de Barcelona; Barcelona, Spain;NA;NA;NA;26;Spain;Barcelona
Jose Ignacio Sanchez-Macias; Departamento de Economía AplicadaFacultad de DerechoUniversidad de Salamanca; Salamanca, Spain;NA;NA;NA;0;Spain;Salamanca
Jose Sanchez Maldonado; Departamento de Hacienda PúblicaFacultad de Ciencias Económicas y EmpresarialesUniversidad de Málaga; Málaga, Spain;NA;NA;NA;2;Spain;Málaga
Rocio Sanchez-Mangas; Departamento de Análisis Económico: Economía CuantitativaFacultad de Ciencias Económicas y EmpresarialesUniversidad Autónoma de Madrid; Madrid, Spain;NA;NA;NA;15;Spain;Madrid
Virginia Sanchez-Marcos; Facultad de Ciencias Económicas y EmpresarialesUniversidad de Cantabria; Santander, Spain;NA;NA;NA;45;Spain;Santander
Vincenzo Spiezia; Directorate for Science, Technology and Industry (DSTI)Organisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;NA;NA;35;France;Paris
Alfonso Ramon Sanchez Martin; Fundación de Estudios de Economía Aplicada (FEDEA); Madrid, Spain;NA;NA;NA;38;Spain;Madrid
Fernando Ignacio Sanchez Martinez; Departamento de Economía AplicadaFacultad de Economía y EmpresaUniversidad de Murcia; Murcia, Spain;NA;NA;NA;2;Spain;Murcia
Antonio Spilimbergo;(25%) Centre for Economic Policy Research (CEPR); London, United Kingdom;NA;NA;1;50;United Kingdom;London
Anastasiya Shamshur; Kent Business SchoolUniversity of Kent; Canterbury, United Kingdom;NA;NA;NA;42;United Kingdom;Canterbury
Santiago Sanchez-Pages; Department of Political EconomyKing's College London; London, United Kingdom;NA;NA;1;87;United Kingdom;London
Rosario Sanchez Perez; Departament d'Anàlisi EconómicaFacultad de EconomíaUniversidad de València; València, Spain;NA;NA;NA;30;Spain;València
Javier Sanchez-Reaza; Public Governance and Territorial Development DirectorateOrganisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;NA;NA;2;France;Paris
Blanca Sanchez-Robles; Facultad de Ciencias Económicas y EmpresarialesUniversidad Nacional de Educatión a Distancia; Madrid, Spain;NA;NA;NA;5;Spain;Madrid
Johannes Spinnewijn; Economics DepartmentLondon School of Economics (LSE); London, United Kingdom;NA;NA;NA;105;United Kingdom;London
Nuria Sanchez-Sanchez; Departamento de EconomíaFacultad de Ciencias Económicas y EmpresarialesUniversidad de Cantabria; Santander, Spain;NA;NA;NA;4;Spain;Santander
Danilo Spinola;(80%) Centre for Applied Finance and Economics (CAFE)Business SchoolBirmingham City University; Birmingham, United Kingdom;NA;NA;NA;24;United Kingdom;Birmingham
Jose Manuel Sanchez-Santos; Departamento de EconomíaFacultade de Economía e EmpresaUniversidade da Coruña; A Coruña, Spain;NA;NA;NA;0;Spain;A Coruña
Qianqian Shang; Centro de Estudios Monetarios y Financieros (CEMFI); Madrid, Spain;NA;NA;NA;0;Spain;Madrid
Bhavani Shankar; Centre for Development, Environment and Policy (CEDEP)School of Oriental and African Studies (SOAS); London, United Kingdom;3;NA;1;7;United Kingdom;London
Peter Spittal; School of EconomicsUniversity of Bristol; Bristol, United Kingdom;NA;NA;NA;0;United Kingdom;Bristol
Raul G Sanchis;(95%) Departamento de Ingenería de la Organización, Administración de Empresas y EstadísticaUniversidad Politécnica de Madrid; Madrid, Spain;NA;NA;NA;0;Spain;Madrid
Rosa Sanchis-Guarner;(50%) Facultat d'Economia i EmpresaUniversitat de Barcelona; Barcelona, Spain;NA;NA;NA;76;Spain;Barcelona
Manuel Sanchis i Marco; Facultad de EconomíaUniversidad de València; València, Spain;NA;NA;NA;0;Spain;València
Amparo Sanchis-Llopis;(50%) Departament d'Estructura EconòmicaFacultad de EconomíaUniversidad de València; València, Spain;NA;NA;NA;55;Spain;València
Juan A Sanchis Llopis;(50%) Departament d'Estructura EconòmicaFacultad de EconomíaUniversidad de València; València, Spain;NA;NA;2;164;Spain;València
Maria Teresa Sanchis Llopis; Instituto Figuerola de Historia y Ciencias SocialesUniversidad Carlos III de Madrid; Madrid, Spain;NA;NA;NA;9;Spain;Madrid
Ferran Sancho; Unitat de Fonaments de l'Anàlisi EconòmicaDepartament d'Economia i Història EconòmicaUniversitat Autònoma de BarcelonaBarcelona School of Economics (BSE); Barcelona, Spain;NA;NA;NA;17;Spain;Barcelona
Rickard Sandell; Departamento de Ciencias SocialesUniversidad Carlos III de Madrid; Madrid, Spain;NA;NA;NA;3;Spain;Madrid
Jaap Spreeuw; Bayes Business SchoolCity University; London, United Kingdom;NA;NA;NA;4;United Kingdom;London
Roger James Sandilands; Economics DepartmentUniversity of Strathclyde; Glasgow, United Kingdom;NA;NA;1;20;United Kingdom;Glasgow
Maren Sprutacz; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;NA;NA;6;Spain;Sevilla
Joel Sandonis; Departamento de Fundamentos del Análisis EconómicoFacultad de Ciencias Económicas y EmpresarialesUniversidad de Alicante; Alicante, Spain;NA;NA;NA;30;Spain;Alicante
Mariagrazia Squicciarini; Directorate for Science, Technology and Industry (DSTI)Organisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;1;NA;100;France;Paris
Francesco Squintani; Department of EconomicsUniversity of Warwick; Coventry, United Kingdom;NA;NA;NA;27;United Kingdom;Coventry
Abhijit Sharma;(34%) Imperial College London; Wye Campus, Ashford, Kent (United Kingdom);NA;4;NA;27;United Kingdom;Wye Campus Ashford, Kent 
Juan Andres Sr ;(50%) Departamento de Economía AplicadaFacultad de Ciencias Económicas y EmpresarialesUniversidad Autónoma de Madrid; Madrid, Spain;NA;NA;NA;8;Spain;Madrid
Charlotte Sandoz-dit-Bragard;(90%) Banque de France; Paris, France;NA;NA;NA;6;France;Paris
